Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
20228174558,"Sep 18, 2026, 2:39:12 PM",Afternoon Ride,Ride,,963,5.07,142.0,3,true,,commuter ,activities/21380590645.fit.gz,,12.0,963.0,845.0,5077.7,7.989,6.009,44.0,32.0,-0.2,11.8,11.5,0.1,,,,,142.0,116.0,,149.0,145.0,,,3.0,,,,,,,,,,,,,1.0,,1.0,,1789740000.0,8.0,17.5,12.7,11.6,0.68,1014.2,6.8,13.2,245.0,0.0,1789708931.0,1789753856.0,0.125,13396594.0,,0.45,5.0,0.91,31324.0,2.0,,,,,,5.273,0.0,,,,,1.1,,,,,,,,,,,,,,,,|
20222955079,"Sep 18, 2026, 5:43:34 AM",Morning Ride,Ride,,907,5.06,130.0,2,true,,commuter ,activities/21375256290.fit.gz,,12.0,907.0,907.0,5068.5,7.52,5.588,27.0,18.0,-1.8,10.2,17.5,0.1,,,,,130.0,108.0,,111.0,127.0,,,2.0,,,,,,,,,,,,,1.0,,1.0,,1789707600.0,1.0,14.3,10.8,11.1,0.81,1011.1,4.1,8.3,269.0,0.0,1789708931.0,1789753856.0,0.125,13396594.0,,0.47,5.0,0.26,20126.0,0.0,,,,,,5.588,0.0,,,,,1.1,,,,,,,,,,,,,,,,|
20214343767,"Sep 17, 2026, 1:43:13 PM",Afternoon Ride,Ride,,1779,5.04,147.0,2,true,,commuter ,activities/21366461533.fit.gz,,12.0,1779.0,857.0,5048.0,8.271,5.89,51.0,15.0,-16.4,16.6,38.4,0.1,,,,,147.0,106.0,,135.0,122.0,,,2.0,,,,,,,,,,,,,1.0,,1.0,,1789650000.0,5.0,16.2,10.9,14.6,0.9,1009.3,7.3,12.6,221.0,2.0,1789622433.0,1789667596.0,0.125,13396594.0,,0.87,5.0,0.98,5866.0,3.0,,,,,,2.838,0.0,,,,,1.1,,,,,,,,,,,,,,,,|
20209571817,"Sep 17, 2026, 5:50:54 AM",Morning Ride,Ride,,948,5.10,134.0,2,true,,commuter ,activities/21361574241.fit.gz,,12.0,948.0,862.0,5101.8,7.445,5.919,29.0,17.0,-3.6,11.8,6.2,0.3,,,,,134.0,110.0,,114.0,129.0,,,2.0,,,,,,,,,,,,,1.0,,1.0,,1789621200.0,3.0,14.8,14.7,13.7,0.93,1012.2,2.0,5.0,209.0,0.0,1789622433.0,1789667596.0,0.125,13396594.0,,0.93,5.0,0.93,16675.0,0.0,,,,,,5.382,0.0,,,,,1.11,,,,,,,,,,,,,,,,|
20201021069,"Sep 16, 2026, 2:50:37 PM",Afternoon Ride,Ride,,967,5.06,125.0,2,true,,commuter ,activities/21352802514.fit.gz,,12.0,967.0,813.0,5061.9,8.5,6.226,37.0,29.0,-3.0,10.8,19.2,0.1,,,,,125.0,108.0,,138.0,118.0,,,2.0,,,,,,,,,,,,,1.0,,1.0,,1789567200.0,5.0,17.0,14.5,13.7,0.81,1016.4,4.8,9.9,297.0,0.7,1789535934.0,1789581335.0,0.125,13396594.0,,0.86,5.0,0.66,10721.0,2.0,,,,,,5.235,0.0,,,,,1.1,,,,,,,,,,,,,,,,|
20195411393,"Sep 16, 2026, 5:50:53 AM",Morning Ride,Ride,,912,5.14,137.0,3,true,,commuter ,activities/21346998083.fit.gz,,12.0,912.0,858.0,5145.7,8.4,5.997,29.0,17.0,-3.8,10.8,13.0,0.2,,,,,137.0,121.0,,116.0,161.0,,,3.0,,,,,,,,,,,,,1.0,,1.0,,1789534800.0,2.0,15.2,15.7,13.1,0.87,1014.2,0.6,3.1,270.0,0.0,1789535934.0,1789581335.0,0.125,13396594.0,,0.84,5.0,0.49,19293.0,0.0,,,,,,5.642,0.0,,,,,1.12,,,,,,,,,,,,,,,,|
20172238983,"Sep 14, 2026, 2:53:21 PM",Afternoon Ride,Ride,,1911,3.69,129.0,1,true,,commuter ,activities/21322544092.fit.gz,,12.0,1911.0,713.0,3694.1,7.85,5.181,36.0,20.0,-1.8,11.6,17.6,0.3,,,,,129.0,101.0,,139.0,86.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,1789394400.0,3.0,22.1,21.9,18.4,0.8,1022.3,3.1,6.8,267.0,0.0,1789362936.0,1789408814.0,0.125,13396594.0,,0.57,5.0,0.72,19121.0,2.0,,,,,,1.933,0.0,,,,,0.8,,,,,,,,,,,,,,,,|
20170899981,"Sep 14, 2026, 1:36:42 PM",Afternoon Ride,Ride,,739,3.72,134.0,2,true,,commuter ,activities/21321119408.fit.gz,,12.0,739.0,665.0,3725.6,7.517,5.602,33.0,27.0,-1.6,12.0,11.7,0.3,,,,,134.0,117.0,,151.0,114.0,,,2.0,,,,,,,,,,,,,1.0,,1.0,,1789390800.0,2.0,22.2,21.5,18.0,0.77,1022.5,4.2,9.0,249.0,0.0,1789362936.0,1789408814.0,0.125,13396594.0,,0.6,5.0,0.58,20145.0,3.0,,,,,,5.041,0.0,,,,,0.81,,,,,,,,,,,,,,,,|
20168211361,"Sep 14, 2026, 8:43:20 AM",Morning Ride,Ride,"",4753,30.88,172.0,33,false,,Cube Agree C:62 Race,activities/21318273261.fit.gz,,7.5,4753.0,4137.0,30884.3,10.94,7.465,72.0,70.0,1.2,16.8,13.2,0.0,,,114.0,73.0,172.0,132.0,,185.0,882.0,,19.0,33.0,763498.0,,,,,,,,201.0,4553.0,0.0,,0.0,,1.0,,1789372800.0,3.0,17.1,17.8,15.7,0.92,1023.1,0.5,2.9,132.0,0.0,1789362936.0,1789408814.0,0.125,9711213.0,,0.64,5.0,0.99,9905.0,1.0,,,,,,6.498,266.3,,,,,0.0,,60.0,69.0,,,,,,,,,,,,,|
20131120458,"Sep 11, 2026, 2:32:31 PM",Afternoon Ride,Ride,,954,5.07,138.0,2,true,,commuter ,activities/21278876802.fit.gz,,12.0,954.0,842.0,5069.5,8.38,6.021,44.0,39.0,-5.4,12.8,24.6,0.0,,,89.0,72.0,138.0,114.0,,146.0,145.0,,,2.0,121176.0,,,,,,,,149.0,953.0,,,1.0,,1.0,,1789135200.0,2.0,20.3,21.1,16.3,0.78,1019.2,2.2,5.8,276.0,0.1,1789103440.0,1789150038.0,0.0,13396594.0,,0.86,5.0,0.53,18780.0,2.0,,,,,,5.314,0.0,,,,,1.1,,6.0,51.0,,,,,,,,,,,,,|
20125999013,"Sep 11, 2026, 5:45:43 AM",Morning Ride,Ride,,1044,5.09,144.0,3,true,,commuter ,activities/21273454915.fit.gz,,12.0,1044.0,806.0,5098.0,9.96,6.325,31.0,17.0,-9.6,12.0,18.9,0.3,,,86.0,71.0,144.0,124.0,,164.0,154.0,,,3.0,130727.0,,,,,,,,162.0,1045.0,,,1.0,,1.0,,1789102800.0,5.0,14.6,12.0,12.0,0.84,1016.2,4.3,8.4,197.0,0.4,1789103440.0,1789150038.0,0.0,13396594.0,,0.83,5.0,0.99,15480.0,0.0,,,,,,4.883,0.0,,,,,1.11,,9.0,56.0,,,,,,,,,,,,,|
20119434662,"Sep 10, 2026, 2:51:24 PM",Make watts while the sun shines,Ride,"",7867,64.77,179.0,170,false,,Cube Agree C:62 Race,activities/21266433441.fit.gz,,7.5,7867.0,7713.0,64771.9,13.42,8.398,170.0,168.0,-0.4,33.2,16.1,0.0,,,100.0,77.0,179.0,151.0,,226.0,1963.0,,19.9,170.0,1741231.0,,,,,,,,242.0,7868.0,0.0,,0.0,,1.0,,1789048800.0,3.0,19.9,20.3,11.9,0.6,1018.4,1.7,4.8,230.0,0.0,1789016942.0,1789063779.0,0.875,9711213.0,,0.41,5.0,0.66,27477.0,2.0,,,,,,8.233,16.3,,,,,0.0,,151.0,83.0,,,,,,,,,,,,,|
20117342328,"Sep 10, 2026, 2:07:20 PM",Afternoon Ride,Ride,,828,5.04,140.0,2,true,,commuter ,activities/21264217748.fit.gz,,12.0,828.0,779.0,5042.0,8.9,6.472,20.0,15.0,-0.2,9.8,17.4,0.1,,,92.0,72.0,140.0,118.0,,168.0,153.0,,,2.0,130848.0,,,,,,,,178.0,829.0,,,1.0,,1.0,,1789048800.0,3.0,19.9,20.3,11.9,0.6,1018.4,1.7,4.8,230.0,0.0,1789016942.0,1789063779.0,0.875,13396594.0,,0.41,5.0,0.66,27477.0,2.0,,,,,,6.089,0.0,,,,,1.1,,8.0,61.0,,,,,,,,,,,,,|
20112325414,"Sep 10, 2026, 5:45:41 AM",Morning Ride,Ride,"",904,5.09,141.0,3,true,"",Canyon Grizl,activities/21258903123.fit.gz,,10.0,904.0,813.0,5096.1,9.04,6.268,37.0,11.0,-11.0,11.0,12.0,0.4,,,90.0,69.0,141.0,120.0,,169.0,158.0,,,3.0,135092.0,,,,,,,,172.0,905.0,0.0,,1.0,,1.0,,1789016400.0,2.0,12.4,13.1,10.6,0.89,1018.4,0.3,0.6,174.0,0.0,1789016942.0,1789063779.0,0.875,11728128.0,,0.42,5.0,0.61,23819.0,0.0,,,,,,5.637,0.0,,,,,1.11,,8.0,59.0,,,,,,,,,,,,,|
