Comment Date,Comment
"Apr 4, 2020, 4:29:06 PM",Haha I did have one but misplaced it! Only 2 rides without
"Apr 7, 2020, 7:23:25 PM",Hey I've taken you to the Taj before !!
"Apr 11, 2020, 11:42:10 AM",Got close
"Jun 7, 2020, 1:31:10 PM",Strong mudguard
"Apr 15, 2021, 6:52:13 AM",George Lole she absolutely flies
"Apr 18, 2021, 12:20:56 PM",It claims to be 90s Korea inspired Natalia Origo  haha
"May 18, 2021, 4:41:19 PM",Didn't fancy a 10km?
"Sep 20, 2021, 4:12:25 PM",Interesting sharp shape to the hike
"Feb 26, 2022, 2:22:47 PM",Good effort!!
"Jul 8, 2023, 9:14:00 PM",Earnt that mountain journey with that elevation
"Sep 24, 2023, 9:43:01 AM",Andrew Heaton it was absolutely grim
"Apr 6, 2024, 12:13:34 PM",Correct Strava protocol hahaa
"Jun 3, 2024, 5:47:33 AM",Strava have absolutely done you here... Good effort all the same!
"Apr 12, 2025, 1:01:41 PM",Better?
"May 16, 2025, 12:45:19 PM",Sounds like someone needs a new bike
"May 29, 2025, 9:18:58 AM",I appreciate the perfect square of this 5km
"Jun 1, 2025, 7:39:16 PM",One of my faves
"Jun 1, 2025, 7:55:52 PM",Pain is weakness leaving the body?
"Jun 13, 2025, 3:30:45 PM",Bit rich coming from you!
"Jun 13, 2025, 4:25:56 PM",Very quiet then!
"Jun 24, 2025, 8:18:40 AM","Andreas Stegmaier it looked lovely, i'm jealous!"
"Jun 25, 2025, 6:05:38 PM",Chris T it hurt 
"Apr 10, 2026, 5:50:02 PM",Andrew Heaton all set might be a stretch haha 
"May 2, 2026, 1:40:30 PM",Chris decided to give it full gas for 8km only 30km in...bit rude to be honest 
"Aug 9, 2026, 10:50:05 AM",So much for no legs
"Aug 16, 2026, 1:22:15 PM",With new bike?
"Sep 5, 2026, 1:38:59 PM",Your elevation numbers hahahaa
