Following Athlete ID,Follow Status,Favorite Status
22833015,Accepted,""
179920909,Accepted,""
2195067,Accepted,""
10783851,Accepted,""
71101422,Accepted,""
95677654,Accepted,""
16080090,Accepted,""
21094296,Accepted,""
7868156,Accepted,""
120416765,Accepted,""
4049155,Accepted,""
10296629,Accepted,""
93402895,Accepted,""
7873402,Accepted,""
1727324,Accepted,""
1557033,Accepted,""
189040,Accepted,""
559834,Accepted,""
6021015,Accepted,""
12525069,Accepted,""
24039948,Accepted,""
16345903,Accepted,""
39385346,Accepted,""
71654683,Accepted,""
45616545,Accepted,""
83160232,Accepted,""
10760485,Accepted,""
30354364,Accepted,""
25427313,Accepted,""
15219329,Accepted,""
81570798,Accepted,""
22546424,Accepted,""
29745239,Accepted,""
43600556,Accepted,""
4002891,Accepted,""
7788261,Accepted,""
21590174,Accepted,""
22567550,Accepted,""
14474308,Accepted,""
9731243,Accepted,""
45796067,Accepted,""
6331109,Accepted,""
54273281,Accepted,""
39121350,Accepted,""
53948123,Accepted,""
16888335,Accepted,""
5654546,Accepted,""
31771595,Accepted,""
14464316,Accepted,""
27362559,Accepted,""
39123801,Accepted,""
25677619,Accepted,""
8830235,Accepted,""
29292690,Accepted,""
32411044,Accepted,""
52952684,Accepted,""
12492965,Accepted,""
40423697,Accepted,""
16929464,Accepted,""
22914600,Accepted,""
4735006,Accepted,""
12204152,Accepted,""
9653760,Accepted,""
30721312,Accepted,""
11199947,Accepted,""
5700239,Accepted,""
