Route Name,Route Filename
Work VL and other Double hoop,routes/1.gpx
NETHERLANDS - AMSTERDAM - KOM OP GERRIE ! (*),routes/2.gpx
Limburg Wine Route w cauberg,routes/3.gpx
30Km Work VL loop,routes/4.gpx
Work far ring and half Vlietland,routes/5.gpx
NETHERLANDS - ROTTERDAM - WINDMILLS OF KINDERDIJK - LES MOULINS DE KINDERDIJK ,routes/6.gpx
Haarlem town dodging,routes/7.gpx
Delft station via Bodegraven,routes/8.gpx
127km Country above BG and back through Delft,routes/9.gpx
NORWAY - SVOLVÆR - LOFOTEN EXPRESS,routes/10.gpx
NETHERLANDS - AMSTERDAM - KOM OP GERRIE ! (*),routes/11.gpx
VDV canal to maasland,routes/12.gpx
50km country wide Delft Loop,routes/13.gpx
VDV 100km,routes/14.gpx
60km katwijk and dodge wassenar,routes/15.gpx
"Long Bodegraven, river and wiggles",routes/16.gpx
VDV Large zmeer loop,routes/17.gpx
Um Knupp-Floating bridge-An der Driicht,routes/18.gpx
Limburg Wine Route,routes/19.gpx
Reverse bodegraven ,routes/20.gpx
Work VL and other Double hoop,routes/21.gpx
VDV 55km vlietland Delft,routes/22.gpx
NETHERLANDS - AMSTERDAM - KOM OP GERRIE ! (*),routes/23.gpx
Limburg Wine Route w cauberg,routes/24.gpx
30Km Work VL loop,routes/25.gpx
Work far ring and half Vlietland,routes/26.gpx
NETHERLANDS - ROTTERDAM - WINDMILLS OF KINDERDIJK - LES MOULINS DE KINDERDIJK ,routes/27.gpx
Haarlem town dodging,routes/28.gpx
Delft station via Bodegraven,routes/29.gpx
127km Country above BG and back through Delft,routes/30.gpx
NORWAY - SVOLVÆR - LOFOTEN EXPRESS,routes/31.gpx
NETHERLANDS - AMSTERDAM - KOM OP GERRIE ! (*),routes/32.gpx
VDV canal to maasland,routes/33.gpx
50km country wide Delft Loop,routes/34.gpx
VDV 100km,routes/35.gpx
60km katwijk and dodge wassenar,routes/36.gpx
"Long Bodegraven, river and wiggles",routes/37.gpx
VDV Large zmeer loop,routes/38.gpx
Um Knupp-Floating bridge-An der Driicht,routes/39.gpx
Limburg Wine Route,routes/40.gpx
Work VL and other Double hoop,routes/41.gpx
VDV 55km vlietland Delft,routes/42.gpx
30Km Work VL loop,routes/43.gpx
Alfold Loxwood Plaistow and back to Dunsfold,routes/44.gpx
Work far ring and half Vlietland,routes/45.gpx
Haarlem town dodging,routes/46.gpx
Oude Tonge to Home Top of the island ,routes/47.gpx
Delft station via Bodegraven,routes/48.gpx
127km Country above BG and back through Delft,routes/49.gpx
VDV canal to maasland,routes/50.gpx
50km country wide Delft Loop,routes/51.gpx
VDV 100km,routes/52.gpx
First attempt to Oude Tonge,routes/53.gpx
"Long Bodegraven, river and wiggles",routes/54.gpx
Delft intial extra 44km loop,routes/55.gpx
VDV Large zmeer loop,routes/56.gpx
UK Home Longer Local Ride,routes/57.gpx
Oude Tonge to Home Bottom Island,routes/58.gpx
Second attempt at Tilburg to Oude Tonge,routes/59.gpx
Delft 'tWoudt wide loop,routes/60.gpx
