Activity ID,Exercise Name,Repetitions,Duration (seconds),Weight,Start Time (milliseconds),Superset ID,Rate of Perceived Exertion
19530154206,Unknown,3,1448.0,,1785422081000,,
19516341700,Unknown,4,2443.0,,1785335851000,,
19417428370,Curl,55,2374.0,,1784722696000,,
19347246122,Unknown,6,2230.0,,1784278643000,,
19295871805,Unknown,3,3073.0,,1783952467000,,
19230334636,Unknown,8,3608.0,,1783521307000,,
19163591319,Unknown,38,2101.0,,1783084666000,,
19151335260,Unknown,10,1934.0,,1783001214000,,
19136698628,Sit Up,4,9721.0,,1782899019000,,
19134659235,Unknown,6,2056.0,,1782896480000,,
19125087031,Unknown,4,3986.0,,1782829149000,,
18877654190,Unknown,4,2917.0,,1781179295000,,
18836232773,Curl,65,2686.0,,1780920400000,,
18672451513,Unknown,5,2316.0,,1779872128000,,
18582980795,Bench Press,87,2908.0,,1779287410000,,
18569874227,Unknown,9,5286.0,,1779201582000,,
18491960285,Curl,39,1807.0,,1778683713000,,
18478988967,Unknown,4,6615.0,,1778595707000,,
18409623319,Curl,66,2184.0,,1778144603000,,
18400669695,Unknown,7,4081.0,,1778078545000,,
18316640220,Curl,66,2617.0,,1777539410000,,
18289260185,Unknown,3,2494.0,,1777366703000,,
18236317722,Unknown,5,2118.0,,1777021394000,,
18213370296,Unknown,4,4261.0,,1776868178000,,
18194625531,Unknown,13,2115.0,,1776762084000,,
18120000707,Bench Press,42,1276.0,,1776266834000,,
18107200519,Curl,46,5103.0,,1776180677000,,
18051174388,Unknown,4,2492.0,,1775811447000,,
18015234711,Unknown,3,2914.0,,1775574492000,,
